         2310514 function calls (2180215 primitive calls) in 42.133 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.022    0.000 cgutils.py:542(get_item_pointer)
      264    0.000    0.000    0.001    0.000 cgutils.py:276(get_module)
      236    0.000    0.000    0.003    0.000 values.py:182(__init__)
       76    0.000    0.000    0.003    0.000 interpreter.py:793(op_CALL_FUNCTION)
      521    0.000    0.000    0.000    0.000 types.py:357(gep)
     1276    0.000    0.000    0.000    0.000 ir.py:69(get)
       25    0.000    0.000    0.006    0.000 coo.py:116(__init__)
      9/2    0.000    0.000    1.969    0.985 compiler.py:184(run)
      185    0.000    0.000    0.004    0.000 cgutils.py:765(global_constant)
      245    0.000    0.000    0.000    0.000 module.py:194(_next)
      211    0.000    0.000    0.004    0.000 core.py:169(add_global_variable)
      114    0.000    0.000    0.001    0.000 numpy_support.py:235(choose_types)
       17    0.000    0.000    0.009    0.001 compressed.py:482(_mul_sparse_matrix)
     1533    0.000    0.000    0.000    0.000 controlflow.py:144(descendents)
       75    0.000    0.000    0.001    0.000 types.py:906(__init__)
      259    0.000    0.000    0.000    0.000 values.py:236(get_reference)
       25    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.coo_tocsr}
       50    0.000    0.000    0.076    0.002 objmode.py:495(loadvar)
      133    0.000    0.000    0.001    0.000 interpreter.py:537(insert_block)
       24    0.000    0.000    0.001    0.000 targets.py:13(get_default_triple)
       24    0.000    0.000    0.002    0.000 dia.py:76(__init__)
       69    0.000    0.000    0.007    0.000 pythonapi.py:109(err_set_string)
       16    0.000    0.000    0.011    0.001 mohoinv.py:280(jacobian)
      309    0.000    0.000    0.095    0.000 cgutils.py:125(__getitem__)
     2153    0.000    0.000    0.000    0.000 values.py:464(function)
      172    0.000    0.000    0.001    0.000 dataflow.py:298(_binaryop)
      140    0.000    0.000    0.001    0.000 models.py:323(get_argument_type)
     1165    0.000    0.000    0.001    0.000 {setattr}
        9    0.000    0.000    0.000    0.000 mohoinv.py:300(fix_density)
      479    0.000    0.000    0.001    0.000 values.py:393(<genexpr>)
      341    0.000    0.000    0.001    0.000 {method 'intersection_update' of 'set' objects}
      9/3    0.000    0.000    1.107    0.369 compiler.py:385(stage_nopython_frontend)
       92    0.000    0.000    0.001    0.000 builtins.py:389(generic)
       33    0.000    0.000    0.006    0.000 models.py:329(_as)
       50    0.000    0.000    0.008    0.000 callconv.py:275(return_user_exc)
      146    0.000    0.000    0.003    0.000 instructions.py:259(descr)
      245    0.000    0.000    0.001    0.000 module.py:167(__next__)
      183    0.000    0.000    0.001    0.000 _utils.py:49(get_child)
      159    0.000    0.000    0.005    0.000 interpreter.py:900(_binop)
       70    0.000    0.000    0.005    0.000 typeinfer.py:589(typeof_global)
      510    0.000    0.000    0.000    0.000 types.py:279(__init__)
       14    0.000    0.000    0.010    0.001 npyimpl.py:193(numpy_ufunc_kernel)
      150    0.000    0.000    0.004    0.000 interpreter.py:741(op_STORE_FAST)
     15/5    0.000    0.000    0.001    0.000 sre_parse.py:395(_parse)
      267    0.000    0.000    0.001    0.000 models.py:247(get_value_type)
      183    0.000    0.000    0.000    0.000 _utils.py:21(__init__)
     1733    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csc_matmat_pass2}
        8    0.000    0.000    0.468    0.059 lowering.py:118(lower_function_body)
      100    0.000    0.000    0.000    0.000 numpy_support.py:108(as_dtype)
      175    0.000    0.000    0.004    0.000 context.py:216(resolve_value_type)
     1326    0.000    0.000    0.000    0.000 lowering.py:607(getvar)
      157    0.000    0.000    0.001    0.000 cgutils.py:54(create_struct_proxy)
        7    0.000    0.000    1.126    0.161 compiler.py:697(native_lowering_stage)
      333    0.000    0.000    0.000    0.000 {hasattr}
      348    0.000    0.000    0.002    0.000 cgutils.py:328(terminate)
      144    0.000    0.000    0.000    0.000 numpy_support.py:80(from_dtype)
      100    0.000    0.000    0.135    0.001 objmode.py:66(lower_inst)
     4573    0.000    0.000    0.000    0.000 {ord}
     24/3    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
      159    0.000    0.000    0.001    0.000 ir.py:152(binop)
      175    0.000    0.000    0.000    0.000 base.py:69(__init__)
       24    0.000    0.000    0.001    0.000 arraysetops.py:96(unique)
      561    0.000    0.000    0.000    0.000 types.py:121(gep)
      150    0.000    0.000    0.000    0.000 coo.py:208(getnnz)
      159    0.000    0.000    0.000    0.000 passmanagers.py:43(finalize)
      159    0.000    0.000    0.000    0.000 passmanagers.py:36(initialize)
       49    0.000    0.000    0.003    0.000 objmode.py:548(alloca)
        9    0.000    0.000    0.000    0.000 mohoinv.py:424(set_top_bottom)
     1236    0.000    0.000    0.000    0.000 base.py:99(get_shape)
       82    0.000    0.000    0.001    0.000 transforms.py:15(visit_BasicBlock)
      204    0.000    0.000    0.003    0.000 instructions.py:117(__init__)
      550    0.000    0.000    0.001    0.000 types.py:353(__eq__)
      185    0.000    0.000    0.004    0.000 base.py:261(insert_unique_const)
       11    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.002    0.000 bytecode.py:344(_mark_lineno)
       97    0.000    0.000    0.002    0.000 interpreter.py:770(op_LOAD_CONST)
      426    0.000    0.000    0.000    0.000 values.py:195(__eq__)
     1478    0.000    0.000    0.000    0.000 {method 'span' of '_sre.SRE_Match' objects}
       24    0.000    0.000    0.000    0.000 shape_base.py:792(tile)
       24    0.000    0.000    0.006    0.000 models.py:336(_from)
   112/32    0.000    0.000    1.068    0.033 typeinfer.py:223(__call__)
       24    0.000    0.000    0.591    0.025 module.py:85(__repr__)
      500    0.000    0.000    0.004    0.000 ir.py:251(list_vars)
       44    0.000    0.000    0.001    0.000 dataflow.py:230(op_BINARY_SUBSCR)
      200    0.000    0.000    0.007    0.000 base.py:239(dot)
       89    0.000    0.000    0.000    0.000 typeinfer.py:559(typeof_arg)
      159    0.000    0.000    0.001    0.000 values.py:334(__repr__)
        8    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csc_tocsr}
      888    0.000    0.000    0.000    0.000 values.py:361(entry_basic_block)
      250    0.000    0.000    0.000    0.000 value.py:67(__init__)
      197    0.000    0.000    0.004    0.000 models.py:408(get)
       13    0.000    0.000    0.008    0.001 argpacker.py:29(as_arguments)
      385    0.000    0.000    0.000    0.000 getlimits.py:269(max)
      108    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
      332    0.000    0.000    0.000    0.000 ffi.py:97(__init__)
       85    0.000    0.000    0.001    0.000 base.py:739(get_c_value)
      135    0.000    0.000    0.000    0.000 ffi.py:51(__init__)
       94    0.000    0.000    0.000    0.000 interpreter.py:423(get_global_value)
      281    0.000    0.000    0.000    0.000 types.py:347(__init__)
      136    0.000    0.000    0.000    0.000 controlflow.py:587(_start_new_block)
      133    0.000    0.000    0.001    0.000 interpreter.py:408(_insert_outgoing_phis)
      987    0.000    0.000    0.000    0.000 values.py:460(is_terminated)
      653    0.000    0.000    0.000    0.000 typeinfer.py:101(append)
      418    0.000    0.000    0.000    0.000 models.py:452(get_field_position)
       12    0.000    0.000    0.010    0.001 rangeobj.py:127(iternext)
      289    0.000    0.000    0.001    0.000 cgutils.py:334(get_null_value)
      236    0.000    0.000    0.003    0.000 core.py:250(get)
       93    0.000    0.000    0.002    0.000 builder.py:227(select)
      268    0.000    0.000    0.001    0.000 ir.py:575(prepend)
       26    0.000    0.000    0.002    0.000 __init__.py:400(kwargs)
     1275    0.000    0.000    0.001    0.000 transforms.py:37(visit_Instruction)
       26    0.000    0.000    0.000    0.000 module.py:69(get_function)
       11    0.000    0.000    0.038    0.003 interpreter.py:92(__init__)
      367    0.000    0.000    0.000    0.000 ffi.py:114(detach)
      570    0.000    0.000    0.000    0.000 typeinfer.py:441(<genexpr>)
        9    0.000    0.000   42.061    4.673 misfit.py:192(value)
     1044    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      273    0.000    0.000    0.001    0.000 core.py:107(int_signextend)
      200    0.000    0.000    0.008    0.000 interface.py:177(_matvec)
       13    0.000    0.000    0.022    0.002 base.py:234(declare_function)
       16    0.000    0.000    0.654    0.041 codegen.py:122(add_ir_module)
      119    0.000    0.000    0.004    0.000 cgutils.py:536(unpack_tuple)
     1525    0.000    0.000    0.000    0.000 types.py:900(key)
       13    0.000    0.000    0.021    0.002 callconv.py:362(call_function)
    50/47    0.000    0.000    0.001    0.000 types.py:693(__init__)
      416    0.000    0.000    0.000    0.000 templates.py:16(__init__)
      152    0.000    0.000    0.000    0.000 {min}
      153    0.000    0.000    0.000    0.000 controlflow.py:240(_add_edge)
      133    0.000    0.000    0.000    0.000 dataflow.py:544(__init__)
        2    0.000    0.000    0.001    0.000 looplifting.py:344(find_varnames_uses)
      383    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
      159    0.000    0.000    0.572    0.004 values.py:404(descr)
      133    0.000    0.000    0.000    0.000 interpreter.py:24(__init__)
       11    0.000    0.000    0.003    0.000 interpreter.py:358(init_first_block)
       71    0.000    0.000    0.000    0.000 context.py:260(_lookup_global)
       28    0.000    0.000    0.003    0.000 cgutils.py:429(for_range)
        4    0.000    0.000    0.000    0.000 newsuper.py:45(newsuper)
      348    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      524    0.000    0.000    0.000    0.000 types.py:32(_on_type_disposal)
       42    0.000    0.000    0.002    0.000 typeinfer.py:259(__call__)
      146    0.000    0.000    0.002    0.000 instructions.py:256(__init__)
      144    0.000    0.000    0.000    0.000 controlflow.py:255(_dfs)
      156    0.000    0.000    0.000    0.000 copy.py:267(_keep_alive)
        8    0.000    0.000    0.209    0.026 codegen.py:136(finalize)
       50    0.000    0.000    0.002    0.000 pythonapi.py:809(serialize_object)
        8    0.000    0.000    0.007    0.001 misfit.py:258(gradient)
      236    0.000    0.000    0.023    0.000 core.py:256(get)
       15    0.000    0.000    0.001    0.000 instructions.py:154(descr)
    50/47    0.000    0.000    0.001    0.000 types.py:772(__init__)
       16    0.000    0.000    0.001    0.000 module.py:107(data_layout)
       24    0.000    0.000    0.036    0.001 imputils.py:200(wrapper)
       16    0.000    0.000    0.002    0.000 codegen.py:309(_function_pass_manager)
        8    0.000    0.000    0.002    0.000 compressed.py:1085(_binopt)
   139/11    0.000    0.000    0.000    0.000 controlflow.py:378(_dfs_rec)
      472    0.000    0.000    0.000    0.000 values.py:204(__hash__)
        8    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csr_matmat_pass1}
      142    0.000    0.000    0.003    0.000 models.py:429(set)
        9    0.000    0.000    0.002    0.000 csr.py:155(tocsc)
        9    0.000    0.000    0.005    0.001 pythonapi.py:273(_long_from_native_int)
      9/2    0.000    0.000    1.969    0.985 compiler.py:528(_compile_bytecode)
       70    0.000    0.000    0.002    0.000 builtins.py:1125(make_pair)
        7    0.000    0.000    0.012    0.002 bytecode.py:313(__init__)
      627    0.000    0.000    0.000    0.000 interpreter.py:447(code_locals)
       11    0.000    0.000    0.000    0.000 controlflow.py:358(_find_back_edges)
       93    0.000    0.000    0.002    0.000 instructions.py:168(__init__)
      283    0.000    0.000    0.000    0.000 controlflow.py:497(incoming_blocks)
      288    0.000    0.000    0.000    0.000 controlflow.py:489(iterliveblocks)
       11    0.000    0.000    0.000    0.000 controlflow.py:390(_find_descendents)
       59    0.000    0.000    0.001    0.000 builtins.py:98(generic)
       52    0.000    0.000    0.000    0.000 collections.py:109(values)
      325    0.000    0.000    0.000    0.000 typeinfer.py:140(<genexpr>)
        8    0.000    0.000    0.246    0.031 cpu.py:112(create_cpython_wrapper)
     1180    0.000    0.000    0.000    0.000 __init__.py:278(kind)
      148    0.000    0.000    0.000    0.000 bytecode.py:192(get_jump_target)
       48    0.000    0.000    0.005    0.000 objmode.py:508(delvar)
        5    0.000    0.000    0.003    0.001 codegen.py:84(_get_module_for_linking)
       87    0.000    0.000    0.002    0.000 builtins.py:437(generic)
      150    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f4a0b4e4f20}
       72    0.000    0.000    0.000    0.000 shape_base.py:8(atleast_1d)
      263    0.000    0.000    0.000    0.000 base.py:952(__init__)
      200    0.000    0.000    0.007    0.000 interface.py:596(_matmat)
    50/47    0.000    0.000    0.000    0.000 types.py:671(__init__)
      150    0.000    0.000    0.001    0.000 dataflow.py:193(op_STORE_FAST)
      133    0.000    0.000    0.004    0.000 interpreter.py:390(_end_current_block)
      151    0.000    0.000    0.001    0.000 sputils.py:102(to_native)
      278    0.000    0.000    0.000    0.000 typeinfer.py:216(__init__)
        8    0.000    0.000    0.011    0.001 callwrapper.py:161(make_exception_switch)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        9    0.000    0.000   42.059    4.673 tesseroid.py:535(gz)
        8    0.000    0.000    0.249    0.031 cpu.py:123(get_executable)
       11    0.000    0.000    0.002    0.000 interpreter.py:568(op_UNPACK_SEQUENCE)
        7    0.000    0.000    0.011    0.002 arrayobj.py:132(iternext_array)
       79    0.000    0.000    0.001    0.000 ir.py:167(call)
       94    0.000    0.000    0.001    0.000 dataflow.py:214(op_LOAD_GLOBAL)
      277    0.000    0.000    0.001    0.000 {all}
        8    0.000    0.000    0.002    0.000 csc.py:126(tocsr)
       28    0.000    0.000    0.002    0.000 npyimpl.py:84(__init__)
      331    0.000    0.000    0.000    0.000 models.py:43(get_data_type)
        1    0.000    0.000    0.000    0.000 looplifting.py:393(_scan_real_end_loop)
      193    0.000    0.000    0.005    0.000 builder.py:206(icmp_unsigned)
      318    0.000    0.000    0.000    0.000 types.py:293(__eq__)
      280    0.000    0.000    0.000    0.000 models.py:258(get_argument_type)
       89    0.000    0.000    0.003    0.000 cgutils.py:343(is_not_null)
       64    0.000    0.000    0.000    0.000 fromnumeric.py:2422(ndim)
       21    0.000    0.000    0.012    0.001 callconv.py:319(get_function_type)
      105    0.000    0.000    0.001    0.000 base.py:272(get_argument_type)
      185    0.000    0.000    0.000    0.000 module.py:48(get_global)
       11    0.000    0.000    0.019    0.002 dataflow.py:24(run)
     1219    0.000    0.000    0.000    0.000 types.py:135(__str__)
       64    0.000    0.000    0.002    0.000 models.py:261(as_argument)
       55    0.000    0.000    0.000    0.000 typeinfer.py:660(typeof_call)
       16    0.000    0.000    0.001    0.000 interpreter.py:818(op_FOR_ITER)
       47    0.000    0.000    0.001    0.000 interpreter.py:764(op_LOAD_ATTR)
      233    0.000    0.000    0.000    0.000 sputils.py:65(upcast_char)
      359    0.000    0.000    0.000    0.000 types.py:253(__init__)
       13    0.000    0.000    0.002    0.000 callconv.py:295(_get_return_status)
        1    0.000    0.000    0.013    0.013 regularization.py:413(__init__)
      196    0.000    0.000    0.000    0.000 values.py:45(get_reference)
       60    0.000    0.000    0.001    0.000 typeinfer.py:202(__call__)
      359    0.000    0.000    0.000    0.000 types.py:260(__getitem__)
      135    0.000    0.000    0.001    0.000 ffi.py:66(__exit__)
      113    0.000    0.000    0.000    0.000 sputils.py:187(isintlike)
      333    0.000    0.000    0.000    0.000 {max}
       17    0.000    0.000    0.002    0.000 csr.py:127(transpose)
      9/3    0.000    0.000    1.107    0.369 compiler.py:667(type_inference_stage)
       19    0.000    0.000    0.092    0.005 objmode.py:201(lower_expr)
       59    0.000    0.000    0.010    0.000 utils.py:163(safe_dot)
     1116    0.000    0.000    0.000    0.000 types.py:91(__str__)
        8    0.000    0.000    0.000    0.000 dispatcher.py:100(add_overload)
       97    0.000    0.000    0.000    0.000 dataflow.py:209(op_LOAD_CONST)
      435    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
      132    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
      184    0.000    0.000    0.000    0.000 types.py:24(_autoincr)
       49    0.000    0.000    0.005    0.000 objmode.py:522(storevar)
        9    0.000    0.000    0.001    0.000 data.py:98(_mul_scalar)
       16    0.000    0.000    0.000    0.000 targets.py:74(add_pass)
      175    0.000    0.000    0.001    0.000 data.py:23(__init__)
      241    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       83    0.000    0.000    0.003    0.000 cgutils.py:338(is_null)
       25    0.000    0.000    0.000    0.000 dataflow.py:155(op_BUILD_TUPLE)
       28    0.000    0.000    0.003    0.000 npyimpl.py:176(_prepare_argument)
        1    0.000    0.000    1.483    1.483 dispatcher.py:357(compile)
        8    0.000    0.000    1.518    0.190 compiler.py:456(_backend)
       85    0.000    0.000    0.001    0.000 pythonapi.py:148(get_c_object)
       44    0.000    0.000    0.002    0.000 models.py:269(from_argument)
        8    0.000    0.000    0.000    0.000 _util.py:12(_aligned_zeros)
       81    0.000    0.000    0.000    0.000 newobject.py:69(next)
     1104    0.000    0.000    0.000    0.000 bytecode.py:283(<genexpr>)
       24    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
       22    0.000    0.000    0.009    0.000 pythonapi.py:1055(to_native_array)
       11    0.000    0.000    0.005    0.000 macro.py:17(expand_macros)
       53    0.000    0.000    0.001    0.000 typeinfer.py:171(__call__)
       50    0.000    0.000    0.006    0.000 pythonapi.py:163(raise_missing_name_error)
      231    0.000    0.000    0.000    0.000 types.py:909(<genexpr>)
       16    0.000    0.000    0.000    0.000 targets.py:157(add_analysis_passes)
      129    0.000    0.000    0.001    0.000 instructions.py:352(<genexpr>)
        8    0.000    0.000    0.006    0.001 callwrapper.py:184(make_keywords)
      216    0.000    0.000    0.005    0.000 builder.py:203(icmp_signed)
       17    0.000    0.000   42.061    2.474 base.py:590(__call__)
       83    0.000    0.000    0.002    0.000 typeinfer.py:565(typeof_const)
       16    0.000    0.000    0.000    0.000 passmanagers.py:20(_dispose)
       32    0.000    0.000    0.000    0.000 types.py:328(__init__)
        9    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csc_matmat_pass1}
        8    0.000    0.000    0.001    0.000 lowering.py:27(__init__)
       55    0.000    0.000    0.028    0.001 base.py:173(get_arg_packer)
      121    0.000    0.000    0.000    0.000 dis.py:178(findlinestarts)
      106    0.000    0.000    0.000    0.000 builder.py:73(position_before)
      319    0.000    0.000    0.001    0.000 ffi.py:147(__del__)
  499/498    0.000    0.000    0.000    0.000 {iter}
       52    0.000    0.000    0.007    0.000 cgutils.py:366(if_likely)
      109    0.000    0.000    0.010    0.000 cgutils.py:132(__setitem__)
      136    0.000    0.000    0.000    0.000 controlflow.py:17(__init__)
     1063    0.000    0.000    0.000    0.000 {hex}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
       16    0.000    0.000    0.000    0.000 {posix.stat}
       83    0.000    0.000    0.002    0.000 base.py:494(__getattr__)
       81    0.000    0.000    0.000    0.000 base.py:435(__next__)
      267    0.000    0.000    0.000    0.000 base.py:870(isspmatrix)
      531    0.000    0.000    0.000    0.000 types.py:459(key)
       82    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
        9    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csr_tocsc}
       14    0.000    0.000    0.001    0.000 inspect.py:440(getsourcefile)
       83    0.000    0.000    0.082    0.001 objmode.py:477(return_exception_raised)
    31/11    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
       13    0.000    0.000    0.011    0.001 callconv.py:332(decorate_function)
       97    0.000    0.000    0.000    0.000 ir.py:392(__init__)
        8    0.000    0.000    0.000    0.000 type_annotations.py:62(__init__)
       53    0.000    0.000    0.000    0.000 typeinfer.py:186(__call__)
       24    0.000    0.000    0.001    0.000 codegen.py:270(_create_empty_module)
        8    0.000    0.000    0.108    0.013 callwrapper.py:83(build)
       44    0.000    0.000    0.001    0.000 interpreter.py:842(op_BINARY_SUBSCR)
       10    0.000    0.000    0.015    0.002 objmode.py:356(lower_global)
        1    0.000    0.000    0.001    0.001 looplifting.py:357(separate_loops)
      165    0.000    0.000    0.004    0.000 core.py:139(bitcast)
       35    0.000    0.000    0.001    0.000 base.py:799(get_struct_type)
        2    0.000    0.000    0.000    0.000 looplifting.py:264(remove_from_outer_use)
      146    0.000    0.000    0.004    0.000 callconv.py:292(_return_errcode_raw)
      135    0.000    0.000    0.000    0.000 ffi.py:69(__del__)
        7    0.000    0.000    0.011    0.002 inspect.py:673(getblock)
       11    0.000    0.000    0.002    0.000 controlflow.py:338(_find_post_dominators)
       16    0.000    0.000    0.000    0.000 passes.py:33(create_pass_manager_builder)
       24    0.000    0.000    0.002    0.000 models.py:718(__init__)
      197    0.000    0.000    0.000    0.000 {numpy.core.multiarray.can_cast}
    47/14    0.000    0.000    0.001    0.000 pickle.py:269(save)
       47    0.000    0.000    0.000    0.000 dataflow.py:224(op_LOAD_ATTR)
       46    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
      153    0.000    0.000    0.000    0.000 controlflow.py:75(add_edge)
       24    0.000    0.000    0.000    0.000 {numpy.core.multiarray.concatenate}
       70    0.000    0.000    0.001    0.000 models.py:495(__init__)
        9    0.000    0.000    0.000    0.000 linalg.py:1924(norm)
      211    0.000    0.000    0.001    0.000 module.py:60(get_unique_name)
       39    0.000    0.000    0.002    0.000 pythonapi.py:66(incref)
      416    0.000    0.000    0.000    0.000 values.py:357(module)
        8    0.000    0.000    0.001    0.000 utils.py:34(make_system)
       22    0.000    0.000    0.026    0.001 objmode.py:456(check_error)
       24    0.000    0.000    0.011    0.000 dia.py:239(tocsr)
      553    0.000    0.000    0.000    0.000 types.py:870(__len__)
        8    0.000    0.000    0.000    0.000 compiler.py:103(compile_result)
      349    0.000    0.000    0.000    0.000 data.py:26(_get_dtype)
      212    0.000    0.000    0.000    0.000 cgutils.py:701(is_pointer)
      159    0.000    0.000    0.000    0.000 core.py:74(pointer)
       73    0.000    0.000    0.000    0.000 six.py:555(itervalues)
      293    0.000    0.000    0.000    0.000 {filter}
      196    0.000    0.000    0.000    0.000 values.py:38(__init__)
        7    0.000    0.000    0.000    0.000 typeinfer.py:475(get_return_type)
       39    0.000    0.000    0.002    0.000 pythonapi.py:393(number_float)
       76    0.000    0.000    0.001    0.000 sputils.py:26(upcast)
       49    0.000    0.000    0.124    0.003 objmode.py:144(lower_assign)
      559    0.000    0.000    0.000    0.000 types.py:957(key)
       22    0.000    0.000    0.002    0.000 pythonapi.py:1201(numba_array_adaptor)
     18/8    0.000    0.000    0.006    0.001 pythonapi.py:951(from_native_value)
       90    0.000    0.000    0.000    0.000 context.py:38(get_number_type)
    12/11    0.000    0.000    0.002    0.000 copy.py:253(_deepcopy_dict)
        9    0.000    0.000   42.060    4.673 mohoinv.py:262(predicted)
       11    0.000    0.000    0.006    0.001 controlflow.py:109(process)
       70    0.000    0.000    0.002    0.000 base.py:313(get_constant_generic)
       28    0.000    0.000    0.001    0.000 base.py:278(get_data_type)
       65    0.000    0.000    0.000    0.000 value.py:112(is_declaration)
       11    0.000    0.000    0.000    0.000 controlflow.py:268(_eliminate_dead_blocks)
       25    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csr_has_canonical_format}
       16    0.000    0.000    0.000    0.000 passmanagers.py:10(create_function_pass_manager)
      103    0.000    0.000    0.003    0.000 cgutils.py:202(_get_ptr_by_index)
       21    0.000    0.000    0.000    0.000 module.py:147(functions)
      717    0.000    0.000    0.000    0.000 __init__.py:266(name)
      238    0.000    0.000    0.000    0.000 typeinfer.py:121(__init__)
        8    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csc_diagonal}
        5    0.000    0.000    0.008    0.002 builtins.py:1161(iternext_unituple)
       12    0.000    0.000    0.013    0.001 arrayobj.py:370(setitem_array_tuple)
        9    0.000    0.000    0.000    0.000 utils.py:420(__init__)
       42    0.000    0.000    0.001    0.000 context.py:77(resolve_getattr)
       92    0.000    0.000    0.001    0.000 types.py:306(<lambda>)
       89    0.000    0.000    0.001    0.000 typeinfer.py:368(seed_type)
       10    0.000    0.000    0.006    0.001 pythonapi.py:1023(to_native_int)
       80    0.000    0.000    0.000    0.000 funcdesc.py:14(transform_arg_name)
       63    0.000    0.000    0.003    0.000 cgutils.py:209(__getattr__)
       85    0.000    0.000    0.000    0.000 core.py:173(get_global_variable_named)
       21    0.000    0.000    0.000    0.000 inspect.py:398(getfile)
       49    0.000    0.000    0.002    0.000 pythonapi.py:99(err_occurred)
      187    0.000    0.000    0.000    0.000 {issubclass}
      534    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       11    0.000    0.000    0.166    0.015 compiler.py:642(translate_stage)
       13    0.000    0.000    0.004    0.000 argpacker.py:60(assign_names)
       24    0.000    0.000    0.082    0.003 base.py:560(pair_second)
        8    0.000    0.000    0.495    0.062 lowering.py:101(lower_normal_function)
       27    0.000    0.000   42.064    1.558 base.py:472(<genexpr>)
       14    0.000    0.000    0.001    0.000 npyfuncs.py:60(_dispatch_func_by_name_type)
       52    0.000    0.000    0.000    0.000 base.py:806(get_dummy_value)
       65    0.000    0.000    0.000    0.000 builtins.py:87(generic)
       40    0.000    0.000    0.002    0.000 cgutils.py:233(__setitem__)
       14    0.000    0.000    0.001    0.000 npyimpl.py:288(__init__)
      113    0.000    0.000    0.000    0.000 sputils.py:218(issequence)
        7    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       89    0.000    0.000    0.001    0.000 typeinfer.py:363(seed_argument)
       47    0.000    0.000    0.000    0.000 ir.py:217(getattr)
       20    0.000    0.000    0.001    0.000 models.py:488(__init__)
       71    0.000    0.000    0.000    0.000 context.py:240(get_global_type)
       42    0.000    0.000    0.001    0.000 cgutils.py:395(ifelse)
       24    0.000    0.000    0.000    0.000 type_check.py:553(common_type)
       24    0.000    0.000    0.000    0.000 module.py:6(__init__)
      151    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
      276    0.000    0.000    0.000    0.000 templates.py:202(<genexpr>)
       25    0.000    0.000    0.001    0.000 compressed.py:966(__get_has_canonical_format)
       22    0.000    0.000    0.005    0.000 base.py:552(pair_first)
      8/2    0.000    0.000    1.090    0.545 typeinfer.py:386(propagate)
       42    0.000    0.000    0.001    0.000 templates.py:247(_resolve)
      178    0.000    0.000    0.000    0.000 typeinfer.py:359(_mangle_arg_name)
      141    0.000    0.000    0.000    0.000 {any}
      236    0.000    0.000    0.000    0.000 instructions.py:30(set_metadata)
       92    0.000    0.000    0.000    0.000 values.py:232(<genexpr>)
        7    0.000    0.000    0.002    0.000 inspect.py:518(findsource)
       39    0.000    0.000    0.002    0.000 pythonapi.py:403(float_as_double)
       47    0.000    0.000    0.000    0.000 ir.py:227(static_getitem)
     12/3    0.000    0.000    0.001    0.000 sre_parse.py:317(_parse_sub)
       59    0.000    0.000    0.003    0.000 base.py:855(get_python_api)
      103    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
       11    0.000    0.000    0.000    0.000 dataflow.py:146(op_UNPACK_SEQUENCE)
       47    0.000    0.000    0.000    0.000 pickle.py:227(memoize)
       60    0.000    0.000    0.000    0.000 numeric.py:1910(isscalar)
    30/14    0.000    0.000    0.001    0.000 context.py:360(unify_pairs)
      191    0.000    0.000    0.000    0.000 utils.py:348(<lambda>)
      191    0.000    0.000    0.000    0.000 utils.py:300(_not_op_and_not_eq)
       17    0.000    0.000    0.002    0.000 compressed.py:1073(_with_data)
        8    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      133    0.000    0.000    0.000    0.000 controlflow.py:32(__iter__)
       14    0.000    0.000    0.000    0.000 pickle.py:736(save_global)
       18    0.000    0.000    0.000    0.000 {numpy.core._dotblas.dot}
       16    0.000    0.000    0.000    0.000 targets.py:222(add_pass)
